year,month,day,hour,minute,second,latitude,longitude,depth,mag_type,magnitude,time
2022,1,4,19,39,7.57,27.831,100.652,6,ML,0.4,2022-01-04 19:39:07.570
2022,1,4,19,47,20.74,28.303,104.925,6,ML,1.4,2022-01-04 19:47:20.740
2022,1,4,19,47,21.44,26.747,100.709,6,ML,1.2,2022-01-04 19:47:21.440
2022,1,4,19,51,15.58,29.534,101.992,2,ML,0.9,2022-01-04 19:51:15.580
2022,1,4,20,1,26.22,25.985,100.06,10,ML,1.8,2022-01-04 20:01:26.220
2022,1,4,20,21,51.22,28.461,104.797,3,ML,1.4,2022-01-04 20:21:51.220
2022,1,4,20,40,45.85,27.111,102.856,15,ML,1.9,2022-01-04 20:40:45.850
2022,1,4,21,7,11.83,28.144,105.086,2,ML,1.0,2022-01-04 21:07:11.830
2022,1,4,21,56,18.61,27.109,102.862,14,ML,1.9,2022-01-04 21:56:18.610
2022,1,4,22,7,27.61,27.113,102.858,15,ML,2.2,2022-01-04 22:07:27.610
2022,1,4,22,8,45.41,27.824,100.648,6,ML,0.9,2022-01-04 22:08:45.410
2022,1,4,22,21,17.45,29.292,105.381,2,ML,0.4,2022-01-04 22:21:17.450
2022,1,4,22,29,38.82,27.105,102.856,14,ML,2.2,2022-01-04 22:29:38.820
2022,1,4,22,52,49.29,29.433,104.831,5,ML,0.8,2022-01-04 22:52:49.290
2022,1,4,22,57,50.76,27.108,102.806,7,ML,1.2,2022-01-04 22:57:50.760
2022,1,4,22,58,36.81,27.817,100.648,6,ML,0.3,2022-01-04 22:58:36.810
2022,1,4,22,59,44.11,28.159,105.056,13,ML,1.0,2022-01-04 22:59:44.110
2022,1,4,23,13,2.08,27.805,100.63,10,ML,0.3,2022-01-04 23:13:02.080
2022,1,4,23,18,11.28,27.809,100.65,6,ML,0.3,2022-01-04 23:18:11.280
2022,1,4,23,22,8.84,28.279,104.924,5,ML,0.3,2022-01-04 23:22:08.840
2022,1,4,23,45,27.36,27.11,102.864,8,ML,2.3,2022-01-04 23:45:27.360
2022,1,4,23,45,28.25,27.108,102.873,5,ML,2.0,2022-01-04 23:45:28.250
